Customer,Order ID,Product,,Units Sold,Date,Rev,Our cost,,Customer ID,Total Revenue,# of orders
4,519269,Oatmeal Raisin,,2548,43770,12740,5605.6,,,,
3,844763,Chocolate Chip,,2535,43922,12675,5070,,,,
3,436809,Chocolate Chip,,2532,43922,12660,5064,,,,
5,764088,White Chocolate Macadamia Nut,,2110,44075,12660,5802.5,,,,
3,684759,Chocolate Chip,,2518,43983,12590,5036,,,,
2,894331,White Chocolate Macadamia Nut,,2092,43770,12552,5753,,,,
1,529471,White Chocolate Macadamia Nut,,2087,44075,12522,5739.25,,,,
1,881268,White Chocolate Macadamia Nut,,2076,43739,12456,5709,,,,
3,683349,Oatmeal Raisin,,2475,43891,12375,5445,,,,
4,140516,Oatmeal Raisin,,2475,44044,12375,5445,,,,
5,703997,Chocolate Chip,,2472,44075,12360,4944,,,,
3,864409,Chocolate Chip,,2470,43709,12350,4940,,,,
3,496123,Chocolate Chip,,2460,43983,12300,4920,,,,
3,235897,Oatmeal Raisin,,2460,43983,12300,5412,,,,
3,120842,Chocolate Chip,,2441,44105,12205,4882,,,,
2,859158,Chocolate Chip,,2434.5,43831,12172.5,4869,,,,
5,115582,Chocolate Chip,,2431,44166,12155,4862,,,,
4,442121,Chocolate Chip,,2428,43891,12140,4856,,,,
2,146841,Chocolate Chip,,2425.5,44013,12127.5,4851,,,,
5,527753,Chocolate Chip,,2417,43831,12085,4834,,,,
4,899743,White Chocolate Macadamia Nut,,2009,44105,12054,5524.75,,,,
3,231476,Chocolate Chip,,2409,43709,12045,4818,,,,
1,727283,Snickerdoodle,,2996,43739,11984,4494,,,,
4,466133,Chocolate Chip,,2394,44044,11970,4788,,,,
4,726489,Chocolate Chip,,2385,43891,11925,4770,,,,
4,235009,White Chocolate Macadamia Nut,,1976,44105,11856,5434,,,,
4,550816,Chocolate Chip,,2363,43862,11815,4726,,,,
2,751733,White Chocolate Macadamia Nut,,1967,43891,11802,5409.25,,,,
2,678731,Chocolate Chip,,2349,43709,11745,4698,,,,
1,779126,Chocolate Chip,,2327,43952,11635,4654,,,,
1,219485,Sugar,,3874.5,44013,11623.5,4843.125,,,,
2,482625,White Chocolate Macadamia Nut,,1916,43800,11496,5269,,,,
3,176592,Chocolate Chip,,2299,43739,11495,4598,,,,
4,579016,Chocolate Chip,,2296,43862,11480,4592,,,,
1,866409,Snickerdoodle,,2852,44166,11408,4278,,,,
2,654585,Snickerdoodle,,2851,43739,11404,4276.5,,,,
4,655952,Oatmeal Raisin,,2276,43952,11380,5007.2,,,,
2,779393,Snickerdoodle,,2844,43983,11376,4266,,,,
2,738910,Chocolate Chip,,2261,43800,11305,4522,,,,
4,384743,Snickerdoodle,,2821,43800,11284,4231.5,,,,
2,327555,Snickerdoodle,,2811,44013,11244,4216.5,,,,
3,761022,Oatmeal Raisin,,2240,43862,11200,4928,,,,
2,812448,Snickerdoodle,,2791,44136,11164,4186.5,,,,
4,754823,Chocolate Chip,,2222,43770,11110,4444,,,,
4,858434,Snickerdoodle,,2767,44044,11068,4150.5,,,,
3,698245,Chocolate Chip,,2198,44044,10990,4396,,,,
2,356550,White Chocolate Macadamia Nut,,1808,44136,10848,4972,,,,
3,712767,Chocolate Chip,,2167,43739,10835,4334,,,,
4,775360,White Chocolate Macadamia Nut,,1804,43862,10824,4961,,,,
5,535522,Snickerdoodle,,2706,43770,10824,4059,,,,
5,441751,Oatmeal Raisin,,2157,44166,10785,4745.4,,,,
5,714255,Chocolate Chip,,2156,44105,10780,4312,,,,
1,481324,Chocolate Chip,,2155,44166,10775,4310,,,,
5,529550,Chocolate Chip,,2152,43800,10760,4304,,,,
1,483789,Snickerdoodle,,2689,44136,10756,4033.5,,,,
3,708450,Chocolate Chip,,2151,43770,10755,4302,,,,
2,389356,Chocolate Chip,,2150,44136,10750,4300,,,,
3,263663,Chocolate Chip,,2146,43770,10730,4292,,,,
3,505159,Chocolate Chip,,2145,43739,10725,4290,,,,
2,348619,Oatmeal Raisin,,2141,44044,10705,4710.2,,,,
5,111799,Snickerdoodle,,2671,44075,10684,4006.5,,,,
4,685544,Chocolate Chip,,2136,43800,10680,4272,,,,
3,146778,Chocolate Chip,,2125,43800,10625,4250,,,,
1,636993,Chocolate Chip,,2116,43800,10580,4232,,,,
3,735406,Chocolate Chip,,2104.5,44013,10522.5,4209,,,,
5,126864,Chocolate Chip,,2101,44044,10505,4202,,,,
3,657776,Oatmeal Raisin,,2076,43739,10380,4567.2,,,,
3,255145,Chocolate Chip,,2074,44075,10370,4148,,,,
5,190154,Oatmeal Raisin,,2072,44166,10360,4558.4,,,,
3,444725,Oatmeal Raisin,,2071,44075,10355,4556.2,,,,
1,732442,Snickerdoodle,,2580,43922,10320,3870,,,,
4,455417,Snickerdoodle,,2579,43922,10316,3868.5,,,,
5,759173,Snickerdoodle,,2567,43983,10268,3850.5,,,,
4,120233,Oatmeal Raisin,,2039,43952,10195,4485.8,,,,
4,872825,Chocolate Chip,,2031,44105,10155,4062,,,,
5,406431,Snickerdoodle,,2529,44013,10116,3793.5,,,,
3,728960,Snickerdoodle,,2521.5,43831,10086,3782.25,,,,
1,208984,Oatmeal Raisin,,2015,43800,10075,4433,,,,
1,780708,Chocolate Chip,,2013,43800,10065,4026,,,,
2,164895,Chocolate Chip,,2009,44105,10045,4018,,,,
5,117162,Chocolate Chip,,2007,43770,10035,4014,,,,
1,614031,White Chocolate Macadamia Nut,,1659,44013,9954,4562.25,,,,
2,348955,Snickerdoodle,,2487,44166,9948,3730.5,,,,
4,304546,Oatmeal Raisin,,1989,43709,9945,4375.8,,,,
4,131249,Oatmeal Raisin,,1987.5,43831,9937.5,4372.5,,,,
3,159484,Chocolate Chip,,1984,44044,9920,3968,,,,
1,293680,Snickerdoodle,,2470,43983,9880,3705,,,,
5,761356,Chocolate Chip,,1954,43891,9770,3908,,,,
3,731074,Oatmeal Raisin,,1953,43922,9765,4296.6,,,,
5,363487,Snickerdoodle,,2441,44105,9764,3661.5,,,,
5,617395,Sugar,,3244.5,43831,9733.5,4055.625,,,,
3,887888,Chocolate Chip,,1946,43800,9730,3892,,,,
1,675075,Chocolate Chip,,1945,43739,9725,3890,,,,
3,100553,Chocolate Chip,,1934,44075,9670,3868,,,,
3,105566,Snickerdoodle,,2416,43709,9664,3624,,,,
5,793514,Chocolate Chip,,1925,43800,9625,3850,,,,
5,364025,Chocolate Chip,,1922,43770,9610,3844,,,,
3,580583,Oatmeal Raisin,,1916,44166,9580,4215.2,,,,
5,778039,Chocolate Chip,,1916,44166,9580,3832,,,,
3,748204,White Chocolate Macadamia Nut,,1596,44075,9576,4389,,,,
3,788478,Oatmeal Raisin,,1907,44075,9535,4195.4,,,,
1,296424,Chocolate Chip,,1901,43983,9505,3802,,,,
3,609228,Oatmeal Raisin,,1899,43983,9495,4177.8,,,,
2,818350,White Chocolate Macadamia Nut,,1582,44166,9492,4350.5,,,,
3,355971,White Chocolate Macadamia Nut,,1579,44044,9474,4342.25,,,,
1,674043,White Chocolate Macadamia Nut,,1575,43862,9450,4331.25,,,,
2,149035,White Chocolate Macadamia Nut,,1566,44105,9396,4306.5,,,,
2,227896,Oatmeal Raisin,,1870,43770,9350,4114,,,,
4,283163,Oatmeal Raisin,,1865,43862,9325,4103,,,,
1,643742,White Chocolate Macadamia Nut,,1545,43983,9270,4248.75,,,,
4,632637,Snickerdoodle,,2300,44166,9200,3450,,,,
4,288662,Snickerdoodle,,2299,43739,9196,3448.5,,,,
5,374150,White Chocolate Macadamia Nut,,1530,43952,9180,4207.5,,,,
4,534742,Chocolate Chip,,1823,44013,9115,3646,,,,
4,481875,Chocolate Chip,,1817,44166,9085,3634,,,,
4,348194,Chocolate Chip,,1802,43800,9010,3604,,,,
3,625104,White Chocolate Macadamia Nut,,1498,43983,8988,4119.5,,,,
2,250308,White Chocolate Macadamia Nut,,1496,43983,8976,4114,,,,
2,616386,White Chocolate Macadamia Nut,,1493,43831,8958,4105.75,,,,
1,303687,Chocolate Chip,,1785,43770,8925,3570,,,,
2,733366,Oatmeal Raisin,,1778,43800,8890,3911.6,,,,
3,839631,Chocolate Chip,,1775,43770,8875,3550,,,,
1,779279,Chocolate Chip,,1774,43891,8870,3548,,,,
4,780393,Sugar,,2954,43770,8862,3692.5,,,,
3,786473,Oatmeal Raisin,,1770,43800,8850,3894,,,,
4,544855,Chocolate Chip,,1767,44075,8835,3534,,,,
2,856913,Sugar,,2935,43770,8805,3668.75,,,,
1,141665,Chocolate Chip,,1760,43709,8800,3520,,,,
3,464499,White Chocolate Macadamia Nut,,1465,43891,8790,4028.75,,,,
4,676135,Chocolate Chip,,1757,43739,8785,3514,,,,
2,310429,Snickerdoodle,,2181,44105,8724,3271.5,,,,
2,520865,Chocolate Chip,,1743,43739,8715,3486,,,,
4,796346,Chocolate Chip,,1743,44044,8715,3486,,,,
5,594129,Oatmeal Raisin,,1743,43739,8715,3834.6,,,,
5,649737,Snickerdoodle,,2178,43983,8712,3267,,,,
2,800536,Sugar,,2903,43891,8709,3628.75,,,,
2,429735,Chocolate Chip,,1731,44105,8655,3462,,,,
5,707748,Oatmeal Raisin,,1731,44105,8655,3808.2,,,,
3,365463,Chocolate Chip,,1728,43952,8640,3456,,,,
1,225353,Oatmeal Raisin,,1727,43739,8635,3799.4,,,,
4,439635,Sugar,,2877,44105,8631,3596.25,,,,
4,289811,Chocolate Chip,,1725,43770,8625,3450,,,,
4,694579,Snickerdoodle,,2156,44105,8624,3234,,,,
4,338090,Snickerdoodle,,2155,44166,8620,3232.5,,,,
4,403455,Snickerdoodle,,2145,43770,8580,3217.5,,,,
2,885201,Chocolate Chip,,1715,43739,8575,3430,,,,
1,632111,Sugar,,2844,43862,8532,3555,,,,
2,701669,Sugar,,2844,43983,8532,3555,,,,
2,566401,Chocolate Chip,,1706,44166,8530,3412,,,,
2,562718,White Chocolate Macadamia Nut,,1421,43800,8526,3907.75,,,,
3,355287,Sugar,,2838,43922,8514,3547.5,,,,
1,283491,Chocolate Chip,,1702,43952,8510,3404,,,,
3,686661,Oatmeal Raisin,,1694,44136,8470,3726.8,,,,
3,754791,Oatmeal Raisin,,1686,44013,8430,3709.2,,,,
2,363822,Sugar,,2807,44044,8421,3508.75,,,,
3,602865,Oatmeal Raisin,,1683,44013,8415,3702.6,,,,
3,551372,Oatmeal Raisin,,1679,44075,8395,3693.8,,,,
2,638098,White Chocolate Macadamia Nut,,1395,44013,8370,3836.25,,,,
1,665489,Oatmeal Raisin,,1659,43831,8295,3649.8,,,,
5,210209,Sugar,,2747,43862,8241,3433.75,,,,
4,640346,White Chocolate Macadamia Nut,,1372,44166,8232,3773,,,,
3,493427,Oatmeal Raisin,,1645,43952,8225,3619,,,,
4,752965,Sugar,,2729,44166,8187,3411.25,,,,
4,571542,Oatmeal Raisin,,1630.5,44013,8152.5,3587.1,,,,
4,768268,Snickerdoodle,,2030,44136,8120,3045,,,,
4,725869,Snickerdoodle,,2021,44105,8084,3031.5,,,,
3,216326,Chocolate Chip,,1614,43922,8070,3228,,,,
5,639651,Sugar,,2689,44105,8067,3361.25,,,,
4,750389,Sugar,,2682,43770,8046,3352.5,,,,
1,218291,Chocolate Chip,,1607,43922,8035,3214,,,,
3,169621,White Chocolate Macadamia Nut,,1333,44136,7998,3665.75,,,,
3,513469,Chocolate Chip,,1598,44044,7990,3196,,,,
2,774130,Sugar,,2663,44166,7989,3328.75,,,,
5,184366,Sugar,,2659,43862,7977,3323.75,,,,
5,559510,Chocolate Chip,,1594,44136,7970,3188,,,,
4,670662,Chocolate Chip,,1583,43983,7915,3166,,,,
3,365552,Chocolate Chip,,1570,43983,7850,3140,,,,
4,696979,White Chocolate Macadamia Nut,,1307,44013,7842,3594.25,,,,
5,626543,Chocolate Chip,,1565,44105,7825,3130,,,,
3,863607,Snickerdoodle,,1947,44075,7788,2920.5,,,,
1,241164,Snickerdoodle,,1937,43862,7748,2905.5,,,,
2,384410,Sugar,,2567,43983,7701,3208.75,,,,
3,293863,Chocolate Chip,,1535,44075,7675,3070,,,,
3,143923,Chocolate Chip,,1531,44166,7655,3062,,,,
3,444518,Sugar,,2541,44044,7623,3176.25,,,,
3,447945,White Chocolate Macadamia Nut,,1269,44105,7614,3489.75,,,,
5,872307,Oatmeal Raisin,,1520,44136,7600,3344,,,,
2,820943,Sugar,,2529,44136,7587,3161.25,,,,
3,636371,White Chocolate Macadamia Nut,,1262,43952,7572,3470.5,,,,
3,538134,Chocolate Chip,,1514,43739,7570,3028,,,,
3,562219,Chocolate Chip,,1514,43862,7570,3028,,,,
3,183251,Chocolate Chip,,1513,44166,7565,3026,,,,
1,572044,Snickerdoodle,,1884,44044,7536,2826,,,,
2,553803,White Chocolate Macadamia Nut,,1250,44166,7500,3437.5,,,,
3,568366,Chocolate Chip,,1496,43983,7480,2992,,,,
5,792599,Sugar,,2487,44166,7461,3108.75,,,,
3,449939,Snickerdoodle,,1865,43862,7460,2797.5,,,,
2,444395,Sugar,,2479,43831,7437,3098.75,,,,
3,161388,Snickerdoodle,,1858,43862,7432,2787,,,,
4,119027,Snickerdoodle,,1834,43709,7336,2751,,,,
3,669715,White Chocolate Macadamia Nut,,1221,43739,7326,3357.75,,,,
5,562962,Sugar,,2436,43800,7308,3045,,,,
3,710711,Chocolate Chip,,1438.5,43831,7192.5,2877,,,,
3,821698,Oatmeal Raisin,,1433,43952,7165,3152.6,,,,
2,601126,Sugar,,2387,44136,7161,2983.75,,,,
3,317699,Snickerdoodle,,1790,43891,7160,2685,,,,
3,168032,White Chocolate Macadamia Nut,,1190,43983,7140,3272.5,,,,
4,595670,Chocolate Chip,,1414.5,43922,7072.5,2829,,,,
1,345233,Snickerdoodle,,1761,43891,7044,2641.5,,,,
3,521535,Chocolate Chip,,1404,43770,7020,2808,,,,
3,504962,Oatmeal Raisin,,1403,43739,7015,3086.6,,,,
3,406234,Sugar,,2338,43983,7014,2922.5,,,,
3,759484,Snickerdoodle,,1743,43952,6972,2614.5,,,,
2,158597,Chocolate Chip,,1393,44105,6965,2786,,,,
3,540063,Oatmeal Raisin,,1393,44105,6965,3064.6,,,,
3,691331,Chocolate Chip,,1389,43739,6945,2778,,,,
1,872775,Sugar,,2297,43770,6891,2871.25,,,,
2,540189,Sugar,,2294,43739,6882,2867.5,,,,
4,545954,Oatmeal Raisin,,1375,43800,6875,3025,,,,
1,631270,Chocolate Chip,,1372,43831,6860,2744,,,,
5,560670,Oatmeal Raisin,,1372,44166,6860,3018.4,,,,
4,713958,Chocolate Chip,,1369.5,44013,6847.5,2739,,,,
3,418690,Chocolate Chip,,1366,43983,6830,2732,,,,
3,277131,Oatmeal Raisin,,1366,43983,6830,3005.2,,,,
3,781275,Chocolate Chip,,1366,44136,6830,2732,,,,
3,223911,White Chocolate Macadamia Nut,,1135,43983,6810,3121.25,,,,
5,816536,Chocolate Chip,,1362,44166,6810,2724,,,,
2,259455,Chocolate Chip,,1359,44136,6795,2718,,,,
3,357838,Oatmeal Raisin,,1350,43862,6750,2970,,,,
1,594463,Sugar,,2234,43709,6702,2792.5,,,,
5,899556,Sugar,,2215,43709,6645,2768.75,,,,
2,205484,Chocolate Chip,,1324,44136,6620,2648,,,,
2,246621,Sugar,,2178,43983,6534,2722.5,,,,
1,144559,Sugar,,2177,44105,6531,2721.25,,,,
5,833644,Chocolate Chip,,1303,43862,6515,2606,,,,
2,765978,White Chocolate Macadamia Nut,,1084,44166,6504,2981,,,,
5,823956,Sugar,,2167,43739,6501,2708.75,,,,
4,776532,Chocolate Chip,,1295,44105,6475,2590,,,,
1,194906,Snickerdoodle,,1618.5,43831,6474,2427.75,,,,
5,505496,Sugar,,2151,44075,6453,2688.75,,,,
2,455780,Chocolate Chip,,1287,44166,6435,2574,,,,
3,786700,Oatmeal Raisin,,1282,43983,6410,2820.4,,,,
4,711362,Sugar,,2134,44075,6402,2667.5,,,,
4,131700,Oatmeal Raisin,,1269,44105,6345,2791.8,,,,
3,367956,White Chocolate Macadamia Nut,,1055,44166,6330,2901.25,,,,
2,644843,Sugar,,2109,43952,6327,2636.25,,,,
2,203224,Snickerdoodle,,1580,44075,6320,2370,,,,
3,428676,Chocolate Chip,,1259,43922,6295,2518,,,,
2,295574,Snickerdoodle,,1563,43952,6252,2344.5,,,,
2,707082,Oatmeal Raisin,,1250,44166,6250,2750,,,,
3,374010,Chocolate Chip,,1249,44105,6245,2498,,,,
3,607051,Snickerdoodle,,1560,43770,6240,2340,,,,
4,234670,White Chocolate Macadamia Nut,,1033,43800,6198,2840.75,,,,
2,734809,Oatmeal Raisin,,1236,44136,6180,2719.2,,,,
5,514463,Chocolate Chip,,1233,44166,6165,2466,,,,
4,495847,Snickerdoodle,,1540,44044,6160,2310,,,,
3,697895,Chocolate Chip,,1228,43739,6140,2456,,,,
3,117166,Oatmeal Raisin,,1228,43739,6140,2701.6,,,,
3,171515,Chocolate Chip,,1227,44105,6135,2454,,,,
3,758487,White Chocolate Macadamia Nut,,1013,44166,6078,2785.75,,,,
3,199710,Snickerdoodle,,1513,44136,6052,2269.5,,,,
4,682634,Snickerdoodle,,1513,44166,6052,2269.5,,,,
4,552346,White Chocolate Macadamia Nut,,1006,43983,6036,2766.5,,,,
5,263637,White Chocolate Macadamia Nut,,1001,44044,6006,2752.75,,,,
3,793118,Sugar,,2001,43862,6003,2501.25,,,,
3,294935,Chocolate Chip,,1198,43739,5990,2396,,,,
3,582048,Chocolate Chip,,1197,44136,5985,2394,,,,
2,289035,Snickerdoodle,,1496,44105,5984,2244,,,,
3,479703,Oatmeal Raisin,,1190,43983,5950,2618,,,,
3,788517,Snickerdoodle,,1482,43800,5928,2223,,,,
2,382008,White Chocolate Macadamia Nut,,986,44105,5916,2711.5,,,,
3,763666,Chocolate Chip,,1177,44136,5885,2354,,,,
2,837170,Chocolate Chip,,1175,44105,5875,2350,,,,
2,462436,Sugar,,1956,43831,5868,2445,,,,
4,623371,Sugar,,1945,43739,5835,2431.25,,,,
2,434482,Sugar,,1940,43800,5820,2425,,,,
3,151329,Oatmeal Raisin,,1159,43739,5795,2549.8,,,,
4,690780,Chocolate Chip,,1158,43891,5790,2316,,,,
4,869055,Snickerdoodle,,1445,44075,5780,2167.5,,,,
2,203608,Chocolate Chip,,1153,44105,5765,2306,,,,
3,703612,Sugar,,1916,43922,5748,2395,,,,
2,308620,Chocolate Chip,,1143,44105,5715,2286,,,,
3,170867,Oatmeal Raisin,,1143,44105,5715,2514.6,,,,
4,730844,White Chocolate Macadamia Nut,,952,43862,5712,2618,,,,
1,234290,Chocolate Chip,,1142,43983,5710,2284,,,,
3,697568,Chocolate Chip,,1138,44166,5690,2276,,,,
5,691342,Oatmeal Raisin,,1135,43983,5675,2497,,,,
2,149767,Sugar,,1874,44044,5622,2342.5,,,,
2,898591,Chocolate Chip,,1123,43709,5615,2246,,,,
2,304458,Oatmeal Raisin,,1123,44044,5615,2470.6,,,,
2,366080,Sugar,,1870,43800,5610,2337.5,,,,
3,667288,Chocolate Chip,,1122,43891,5610,2244,,,,
2,390355,Sugar,,1867,44075,5601,2333.75,,,,
2,653226,Oatmeal Raisin,,1118,44136,5590,2459.6,,,,
4,128044,Snickerdoodle,,1397,44105,5588,2095.5,,,,
4,686090,Chocolate Chip,,1114,43891,5570,2228,,,,
1,265959,White Chocolate Macadamia Nut,,923,44044,5538,2538.25,,,,
3,604462,Oatmeal Raisin,,1101,43891,5505,2422.2,,,,
4,414628,White Chocolate Macadamia Nut,,914,44166,5484,2513.5,,,,
5,278950,Chocolate Chip,,1095,43952,5475,2190,,,,
5,529578,Chocolate Chip,,1094,43983,5470,2188,,,,
4,745887,Sugar,,1817,44166,5451,2271.25,,,,
4,702657,Snickerdoodle,,1362,44166,5448,2043,,,,
3,234667,White Chocolate Macadamia Nut,,905,44105,5430,2488.75,,,,
2,332447,Chocolate Chip,,1085,44105,5425,2170,,,,
3,300303,Chocolate Chip,,1084,44166,5420,2168,,,,
3,559561,Sugar,,1806,43952,5418,2257.5,,,,
4,558408,Oatmeal Raisin,,1074,43922,5370,2362.8,,,,
4,858867,Snickerdoodle,,1321,43831,5284,1981.5,,,,
5,436748,Chocolate Chip,,1056,44075,5280,2112,,,,
5,531834,Chocolate Chip,,1055,44166,5275,2110,,,,
5,275167,Sugar,,1744,44136,5232,2180,,,,
2,361541,Sugar,,1738.5,43922,5215.5,2173.125,,,,
2,153144,Sugar,,1734,43831,5202,2167.5,,,,
3,842675,Oatmeal Raisin,,1038,43983,5190,2283.6,,,,
4,429472,Chocolate Chip,,1038,43983,5190,2076,,,,
4,601636,Snickerdoodle,,1295,44105,5180,1942.5,,,,
4,304806,White Chocolate Macadamia Nut,,861,44105,5166,2367.75,,,,
1,142979,Chocolate Chip,,1031,43709,5155,2062,,,,
3,600124,Chocolate Chip,,1030,43952,5150,2060,,,,
1,428131,White Chocolate Macadamia Nut,,853,44166,5118,2345.75,,,,
4,721092,Chocolate Chip,,1013,44166,5065,2026,,,,
4,640447,Chocolate Chip,,1006,43983,5030,2012,,,,
3,766207,Oatmeal Raisin,,994,43709,4970,2186.8,,,,
4,560581,Chocolate Chip,,991,43983,4955,1982,,,,
4,108848,Sugar,,1642,44044,4926,2052.5,,,,
3,140794,Chocolate Chip,,974,43862,4870,1948,,,,
5,123431,Chocolate Chip,,973,43891,4865,1946,,,,
1,156941,White Chocolate Macadamia Nut,,809,43739,4854,2224.75,,,,
4,256775,Oatmeal Raisin,,970,43770,4850,2134,,,,
2,666752,White Chocolate Macadamia Nut,,807,43862,4842,2219.25,,,,
3,103112,Snickerdoodle,,1210,43891,4840,1815,,,,
3,518063,Snickerdoodle,,1198,43739,4792,1797,,,,
2,561318,Sugar,,1583,43983,4749,1978.75,,,,
1,628954,Sugar,,1582,44166,4746,1977.5,,,,
1,217808,White Chocolate Macadamia Nut,,790,43952,4740,2172.5,,,,
5,565067,Sugar,,1579,43891,4737,1973.75,,,,
2,550622,Oatmeal Raisin,,947,43709,4735,2083.4,,,,
2,358173,Sugar,,1570,43983,4710,1962.5,,,,
2,544809,Oatmeal Raisin,,941,44136,4705,2070.2,,,,
1,819278,Snickerdoodle,,1174,44044,4696,1761,,,,
